CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA;ANO
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1;Ativo Total;42614656.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1;Ativo Total;54812845.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01;Ativo Circulante;34548654.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01;Ativo Circulante;31946046.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.01;Caixa e Equivalentes de Caixa;3446986.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.01;Caixa e Equivalentes de Caixa;9786142.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.02;Aplicações Financeiras;1651820.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.02;Aplicações Financeiras;4248318.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;1651820.0000000000;S;2019
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;1581669.0000000000;S;2020
