CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA;ANO;VALOR_AJUSTADO
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1;Ativo Total;54685657.0;S;2020;69691047.31552862
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1;Ativo Total;56670203.0;S;2021;65618880.5129077
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01;Ativo Circulante;31818858.0;S;2020;40549746.68045199
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01;Ativo Circulante;32790163.0;S;2021;37967991.536853455
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.01;Caixa e Equivalentes de Caixa;9786142.0;S;2020;12471396.021784686
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.01;Caixa e Equivalentes de Caixa;10147201.0;S;2021;11749525.053923974
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.02;Aplicações Financeiras;4248318.0;S;2020;5414028.96100182
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.02;Aplicações Financeiras;4189985.0;S;2021;4851617.08465868
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;1581669.0;S;2020;2015668.735890013
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;1093685.0;S;2021;1266386.5935641604
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.02.01.01;Títulos para Negociação;0.0;S;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.02.01.01;Títulos para Negociação;0.0;S;2021;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.02.01.02;Títulos Designados a Valor Justo;1581669.0;S;2020;2015668.735890013
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.02.01.02;Títulos Designados a Valor Justo;1093685.0;S;2021;1266386.5935641604
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;2666095.0;S;2020;3397654.2110976973
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;3019303.0;S;2021;3496075.05004462
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;554.0;S;2020;706.0140141098215
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;76997.0;S;2021;89155.44104989979
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.03;Contas a Receber;1100811.0;S;2020;1402866.4131520698
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.03;Contas a Receber;1108324.0;S;2021;1283337.208543049
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.03.01;Clientes;1100811.0;S;2020;1402866.4131520698
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.03.01;Clientes;1108324.0;S;2021;1283337.208543049
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.03.01.01;Contas a receber;1056782.0;N;2020;1346756.1405397207
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.03.01.01;Contas a receber;1054846.0;N;2021;1221414.6053706326
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.03.01.02;Financiamento a clientes;44029.0;N;2020;56110.27261234896
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.03.01.02;Financiamento a clientes;53478.0;N;2021;61922.60317241634
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.03.01.03;Contas a receber vinculadas;0.0;N;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.03.01.03;Contas a receber vinculadas;0.0;N;2021;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.03.02;Outras Contas a Receber;0.0;S;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.03.02;Outras Contas a Receber;0.0;S;2021;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.04;Estoques;12706216.0;S;2020;16192719.426545918
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.04;Estoques;11082692.0;S;2021;12832737.551855216
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.05;Ativos Biológicos;0.0;S;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.05;Ativos Biológicos;0.0;S;2021;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.06;Tributos a Recuperar;852956.0;S;2020;1087001.605449561
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.06;Tributos a Recuperar;847959.0;S;2021;981858.4962691012
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.06.01;Tributos Correntes a Recuperar;852956.0;S;2020;1087001.605449561
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.06.01;Tributos Correntes a Recuperar;847959.0;S;2021;981858.4962691012
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.07;Despesas Antecipadas;161157.0;S;2020;205377.4376749034
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.07;Despesas Antecipadas;183516.0;S;2021;212494.64160569126
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.08;Outros Ativos Circulantes;2963258.0;S;2020;3776356.814843035
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.08;Outros Ativos Circulantes;5230486.0;S;2021;6056421.4999977425
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.08.01;Ativos Não-Correntes a Venda;0.0;S;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.08.01;Ativos Não-Correntes a Venda;0.0;S;2021;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0;S;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.08.02;Ativos de Operações Descontinuadas;1288464.0;S;2021;1491922.7527944995
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.08.02.01;Ativos mantidos para venda;0.0;N;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.08.02.01;Ativos mantidos para venda;1288464.0;N;2021;1491922.7527944995
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.08.03;Outros;2963258.0;S;2020;3776356.814843035
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.08.03;Outros;3942022.0;S;2021;4564498.747203243
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.08.03.01;Outros ativos;519388.0;N;2020;661904.7053438121
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.08.03.01;Outros ativos;688573.0;N;2021;797304.1743191638
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.08.03.02;Instrumentos financeiros derivativos;43182.0;N;2020;55030.86129474785
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.08.03.02;Instrumentos financeiros derivativos;703.0;N;2021;814.0093128054282
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.08.03.03;Depósitos em garantia;1068.0;N;2020;1361.052287128681
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.08.03.03;Depósitos em garantia;3192.0;N;2021;3696.042285170593
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.01.08.03.04;Ativos de contrato;2399620.0;N;2020;3058060.195917346
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.01.08.03.04;Ativos de contrato;3249554.0;N;2021;3762684.521286103
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.02;Ativo Não Circulante;22866799.0;S;2020;29141300.635076623
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.02;Ativo Não Circulante;23880040.0;S;2021;27650888.976054247
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.02.01;Ativo Realizável a Longo Prazo;1565493.0;S;2020;1995054.146192828
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.02.01;Ativo Realizável a Longo Prazo;1749812.0;S;2021;2026121.2854319941
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0;S;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0;S;2021;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.02.01.01.01;Títulos Designados a Valor Justo;0.0;S;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2021-12-31;1.02.01.01.01;Títulos Designados a Valor Justo;0.0;S;2021;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2020-12-31;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0;S;2020;0.0
