CD_CONTA;DS_CONTA;2020;2021;2022;2023;2024
1;Ativo Total;54685657.0000000000;56670203.0000000000;52918325.0000000000;52201228.0000000000;73219718.0000000000
1.01;Ativo Circulante;31818858.0000000000;32790163.0000000000;30036698.0000000000;29316115.0000000000;40326906.0000000000
1.01.01;Caixa e Equivalentes de Caixa;9786142.0000000000;10147201.0000000000;9479949.0000000000;7887311.0000000000;9678721.0000000000
1.01.02;Aplicações Financeiras;4248318.0000000000;4189985.0000000000;2579508.0000000000;2525758.0000000000;3961465.0000000000
1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;1581669.0000000000;1093685.0000000000;622147.0000000000;820645.0000000000;844940.0000000000
1.01.02.01.01;Títulos para Negociação;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.01.02.01.02;Títulos Designados a Valor Justo;1581669.0000000000;1093685.0000000000;622147.0000000000;820645.0000000000;844940.0000000000
1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;2666095.0000000000;3019303.0000000000;1015707.0000000000;1696928.0000000000;209121.0000000000
1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;554.0000000000;76997.0000000000;941654.0000000000;8185.0000000000;2907404.0000000000
1.01.03;Contas a Receber;1100811.0000000000;1108324.0000000000;1324042.0000000000;1094033.0000000000;2061890.0000000000
1.01.03.01;Clientes;1100811.0000000000;1108324.0000000000;1324042.0000000000;1094033.0000000000;2061890.0000000000
1.01.03.01.01;Contas a receber;1056782.0000000000;1054846.0000000000;1058918.0000000000;1053609.0000000000;1986223.0000000000
1.01.03.01.02;Financiamento a clientes;44029.0000000000;53478.0000000000;265124.0000000000;40424.0000000000;75667.0000000000
1.01.03.01.03;Contas a receber vinculadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.01.03.02;Outras Contas a Receber;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.01.04;Estoques;12706216.0000000000;11082692.0000000000;12152115.0000000000;12761730.0000000000;18181138.0000000000
1.01.05;Ativos Biológicos;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.01.06;Tributos a Recuperar;852956.0000000000;847959.0000000000;950593.0000000000;1335841.0000000000;1421883.0000000000
1.01.06.01;Tributos Correntes a Recuperar;852956.0000000000;847959.0000000000;950593.0000000000;1335841.0000000000;1421883.0000000000
1.01.07;Despesas Antecipadas;161157.0000000000;183516.0000000000;313086.0000000000;241182.0000000000;363721.0000000000
1.01.08;Outros Ativos Circulantes;2963258.0000000000;5230486.0000000000;3237405.0000000000;3470260.0000000000;4658088.0000000000
1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;1288464.0000000000;0.0000000000;0.0000000000;0.0000000000
1.01.08.02.01;Ativos mantidos para venda;0.0000000000;1288464.0000000000;0.0000000000;0.0000000000;0.0000000000
1.01.08.03;Outros;2963258.0000000000;3942022.0000000000;3237405.0000000000;3470260.0000000000;4658088.0000000000
1.01.08.03.01;Outros ativos;519388.0000000000;688573.0000000000;572509.0000000000;920858.0000000000;720543.0000000000
1.01.08.03.02;Instrumentos financeiros derivativos;43182.0000000000;703.0000000000;27916.0000000000;84840.0000000000;81775.0000000000
1.01.08.03.03;Depósitos em garantia;1068.0000000000;3192.0000000000;0.0000000000;0.0000000000;0.0000000000
1.01.08.03.04;Ativos de contrato;2399620.0000000000;3249554.0000000000;2636980.0000000000;2464562.0000000000;3855770.0000000000
1.02;Ativo Não Circulante;22866799.0000000000;23880040.0000000000;22881627.0000000000;22885113.0000000000;32892812.0000000000
1.02.01;Ativo Realizável a Longo Prazo;1565493.0000000000;1749812.0000000000;2151306.0000000000;2465075.0000000000;4454043.0000000000
1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0000000000;0.0000000000;0.0000000000;0.0000000000;848930.0000000000
1.02.01.01.01;Títulos Designados a Valor Justo;0.0000000000;0.0000000000;0.0000000000;0.0000000000;848930.0000000000
1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;0.0000000000;0.0000000000;0.0000000000;430227.0000000000
1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;268668.0000000000;366265.0000000000;886901.0000000000;823251.0000000000;877541.0000000000
1.02.01.04;Contas a Receber;111442.0000000000;124840.0000000000;274728.0000000000;279544.0000000000;137253.0000000000
1.02.01.04.01;Clientes;34.0000000000;0.0000000000;11862.0000000000;16346.0000000000;12480.0000000000
1.02.01.04.02;Outras Contas a Receber;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.02.01.04.03;Financiamento a clientes;111408.0000000000;124840.0000000000;262866.0000000000;263198.0000000000;124773.0000000000
1.02.01.04.04;Contas a receber vinculadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.02.01.05;Estoques;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.02.01.06;Ativos Biológicos;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.02.01.07;Tributos Diferidos;543468.0000000000;544416.0000000000;251064.0000000000;666571.0000000000;1077573.0000000000
1.02.01.07.01;Imposto de Renda e Contribuição Social Diferidos;543468.0000000000;544416.0000000000;251064.0000000000;666571.0000000000;1077573.0000000000
1.02.01.08;Despesas Antecipadas;28283.0000000000;18710.0000000000;50201.0000000000;80988.0000000000;110495.0000000000
1.02.01.09;Créditos com Partes Relacionadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.02.01.09.01;Créditos com Coligadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.02.01.09.03;Créditos com Controladores;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.02.01.09.04;Créditos com Outras Partes Relacionadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.02.01.10;Outros Ativos Não Circulantes;613632.0000000000;695581.0000000000;688412.0000000000;614721.0000000000;972024.0000000000
1.02.01.10.01;Ativos Não-Correntes a Venda;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.02.01.10.02;Ativos de Operações Descontinuadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.02.01.10.03;Tributos a recuperar;249691.0000000000;345889.0000000000;306373.0000000000;245505.0000000000;376177.0000000000
1.02.01.10.04;Outros ativos;349515.0000000000;336479.0000000000;348647.0000000000;357676.0000000000;587356.0000000000
1.02.01.10.05;Depósitos em garantia;7888.0000000000;13137.0000000000;0.0000000000;0.0000000000;0.0000000000
1.02.01.10.06;Instrumentos financeiros derivativos;6538.0000000000;76.0000000000;29983.0000000000;0.0000000000;0.0000000000
1.02.01.10.07;Ativos de contrato;;0.0000000000;3409.0000000000;11540.0000000000;8491.0000000000
1.02.02;Investimentos;26918.0000000000;24651.0000000000;64196.0000000000;136440.0000000000;270608.0000000000
1.02.02.01;Participações Societárias;26918.0000000000;24651.0000000000;64196.0000000000;136440.0000000000;270608.0000000000
1.02.02.01.01;Participações em Coligadas;26918.0000000000;24651.0000000000;64196.0000000000;136440.0000000000;270608.0000000000
1.02.02.01.04;Participações em Controladas em Conjunto;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.02.02.01.05;Outros Investimentos;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.02.02.02;Propriedades para Investimento;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.02.03;Imobilizado;10488182.0000000000;9753667.0000000000;8944690.0000000000;8998618.0000000000;12669526.0000000000
1.02.03.01;Imobilizado em Operação;10164540.0000000000;9417517.0000000000;8605079.0000000000;8572641.0000000000;12021105.0000000000
1.02.03.02;Direito de Uso em Arrendamento;323642.0000000000;336150.0000000000;339611.0000000000;425977.0000000000;648421.0000000000
1.02.03.03;Imobilizado em Andamento;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.02.04;Intangível;10786206.0000000000;12351910.0000000000;11721435.0000000000;11284980.0000000000;15498635.0000000000
1.02.04.01;Intangíveis;10786206.0000000000;12351910.0000000000;11721435.0000000000;11284980.0000000000;15498635.0000000000
1.02.04.01.01;Contrato de Concessão;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.02.04.02;Goodwill;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
