CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA;ANO
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01;Caixa Líquido Atividades Operacionais;-6512364.0000000000;S;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01;Caixa Líquido Atividades Operacionais;2853204.0000000000;S;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01;Caixa Gerado nas Operações;-781840.0000000000;S;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01;Caixa Gerado nas Operações;368243.0000000000;S;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.01;Lucro líquido (Prejuízo) do exercício;-3596233.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.01;Lucro líquido (Prejuízo) do exercício;-267618.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.02;Depreciações do imobilizado e direito de uso;859858.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.02;Depreciações do imobilizado e direito de uso;658526.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.03;Amortizações do intangível;688259.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.03;Amortizações do intangível;467800.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.04;Realização contribuição de parceiros;-44347.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.04;Realização contribuição de parceiros;-54690.0000000000;N;2021
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.05;Perda por obsolescência dos estoques;90368.0000000000;N;2020
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.05;Perda por obsolescência dos estoques;-311459.0000000000;N;2021
