CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA;ANO;VALOR_AJUSTADO
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01;Caixa Líquido Atividades Operacionais;-6512364.0;S;2020;-7568533.628645969
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01;Caixa Líquido Atividades Operacionais;2853204.0;S;2021;3147978.2869590926
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01;Caixa Gerado nas Operações;-781840.0;S;2020;-908638.1431106376
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01;Caixa Gerado nas Operações;368243.0;S;2021;406287.4467877786
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.01;Lucro líquido (Prejuízo) do exercício;-3596233.0;N;2020;-4179466.9949263246
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.01;Lucro líquido (Prejuízo) do exercício;-267618.0;N;2021;-295266.5330622761
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.02;Depreciações do imobilizado e direito de uso;859858.0;N;2020;999309.0356835498
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.02;Depreciações do imobilizado e direito de uso;658526.0;N;2021;726560.5787031082
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.03;Amortizações do intangível;688259.0;N;2020;799880.2564964498
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.03;Amortizações do intangível;467800.0;N;2021;516130.02177182684
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;6.01.01.04;Realização contribuição de parceiros;-44347.0;N;2020;-51539.15856508678
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;6.01.01.04;Realização contribuição de parceiros;-54690.0;N;2021;-60340.21139525697
