CD_CONTA;DS_CONTA;2019;2020;2021;2022;2023;2024
6.01;Caixa Líquido Atividades Operacionais;3749394.0000000000;-6512364.0000000000;2853204.0000000000;3840872.0000000000;2827132.0000000000;5532441.0000000000
6.01.01;Caixa Gerado nas Operações;138420.0000000000;-781840.0000000000;368243.0000000000;1972759.0000000000;2310190.0000000000;5819306.0000000000
6.01.01.01;Lucro (prejuízo) do exercício;;;;-1047213.0000000000;784355.0000000000;
6.01.01.01;Lucro do exercício;;;;;784355.0000000000;1923831.0000000000
6.01.01.01;Lucro líquido (Prejuízo) do exercício;-1294086.0000000000;-3596233.0000000000;-267618.0000000000;-1047213.0000000000;;
6.01.01.02;Depreciações do imobilizado;450268.0000000000;859858.0000000000;;;;
6.01.01.02;Depreciações do imobilizado e direito de uso;;859858.0000000000;658526.0000000000;550660.0000000000;;
6.01.01.02;Despesas com depreciação e amortização;;;;1085766.0000000000;1202053.0000000000;1331819.0000000000
6.01.01.03;Amortizações do intangível;380741.0000000000;688259.0000000000;467800.0000000000;535106.0000000000;;
6.01.01.03;Realização subsídios governamentais;;;;-2712.0000000000;0.0000000000;0.0000000000
6.01.01.04;Realização contribuição de parceiros;-89751.0000000000;-44347.0000000000;-54690.0000000000;-108937.0000000000;-147596.0000000000;-168010.0000000000
6.01.01.05;Perda por obsolescência dos estoques;81499.0000000000;90368.0000000000;-311459.0000000000;-146027.0000000000;;
6.01.01.05;Transação EVEX;;;;1210983.0000000000;0.0000000000;0.0000000000
6.01.01.06;Ajuste valor de mercado, inventário, imobilizado e intangível;413351.0000000000;24561.0000000000;-114783.0000000000;;;
6.01.01.06;Ajuste valor justo, inventário, imobilizado e intangível;;;-114783.0000000000;58872.0000000000;;
6.01.01.06;Perda (ganho) na participação acionária;;;;-7248.0000000000;29290.0000000000;0.0000000000
6.01.01.07;Ajuste valor de mercado - ativos financeiros;;15152.0000000000;-196566.0000000000;;;
6.01.01.07;Ajuste valor justo - ativos financeiros;;;-196566.0000000000;-8896.0000000000;;
6.01.01.07;Perda (reversão) em créditos de liquidação duvidosa;-12317.0000000000;169602.0000000000;;;;
6.01.01.07;Perda (reversão) por redução ao valor recuperável dos estoques;;;;;-24462.0000000000;36457.0000000000
6.01.01.07;Reversão por redução ao valor recuperável dos estoques;;;;-87155.0000000000;-24462.0000000000;
6.01.01.08;Ajuste valor justo - ativos financeiros;;;;-8896.0000000000;-3211.0000000000;101230.0000000000
6.01.01.08;Imposto de renda e contribuição social diferidos;159956.0000000000;404449.0000000000;;;;
6.01.01.08;Provisão (reversão) de perdas de crédito esperadas;;169602.0000000000;-68256.0000000000;;;
6.01.01.08;Reversão (perda) por redução ao valor recuperável de contas a receber, financiamento a clientes e at;;;-68256.0000000000;84749.0000000000;;
6.01.01.09;(Reversão) perda de crédito esperada;;;;84749.0000000000;-48999.0000000000;
6.01.01.09;Imposto de Renda e Contribuição Social Diferidos;;404449.0000000000;220235.0000000000;;;
6.01.01.09;Imposto de renda e contribuição social diferidos;;;220235.0000000000;-458400.0000000000;;
6.01.01.09;Juros sobre empréstimos;11536.0000000000;148603.0000000000;;;;
6.01.01.09;Perda (reversão) de crédito esperada;;;;;-48999.0000000000;121576.0000000000
6.01.01.10;Equivalência patrimonial;971.0000000000;-12709.0000000000;;;;
6.01.01.10;Juros sobre empréstimos;;148603.0000000000;124143.0000000000;1006740.0000000000;;
6.01.01.10;Perda (ganho) na alienação de ativo permanente;;;;209598.0000000000;-142485.0000000000;35263.0000000000
