CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA;ANO
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2;Passivo Total;42614656.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2;Passivo Total;54812845.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01;Passivo Circulante;25739943.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01;Passivo Circulante;12621398.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.01;Obrigações Sociais e Trabalhistas;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.01;Obrigações Sociais e Trabalhistas;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.01.01;Obrigações Sociais;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.01.01;Obrigações Sociais;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.01.02;Obrigações Trabalhistas;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.01.02;Obrigações Trabalhistas;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.02;Fornecedores;1442914.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.02;Fornecedores;2610053.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.02.01;Fornecedores Nacionais;295279.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.02.01;Fornecedores Nacionais;282068.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.02.02;Fornecedores Estrangeiros;1147635.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.02.02;Fornecedores Estrangeiros;2327985.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.03;Obrigações Fiscais;393050.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.03;Obrigações Fiscais;585221.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.03.01;Obrigações Fiscais Federais;385981.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.03.01;Obrigações Fiscais Federais;573457.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;171673.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;211649.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.03.01.02;Outros;214308.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.03.01.02;Outros;361808.0000000000;N;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.03.02;Obrigações Fiscais Estaduais;449.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.03.02;Obrigações Fiscais Estaduais;464.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.03.03;Obrigações Fiscais Municipais;6620.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.03.03;Obrigações Fiscais Municipais;11300.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.04;Empréstimos e Financiamentos;59972.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.04;Empréstimos e Financiamentos;1951241.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.04.01;Empréstimos e Financiamentos;59972.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.04.01;Empréstimos e Financiamentos;1951241.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.04.01.01;Em Moeda Nacional;51313.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.04.01.01;Em Moeda Nacional;62731.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.04.01.02;Em Moeda Estrangeira;8659.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.04.01.02;Em Moeda Estrangeira;1888510.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.04.02;Debêntures;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2020-12-31;2.01.04.02;Debêntures;0.0000000000;S;2020
07.689.002/0001-89;2020-12-31;1;EMBRAER S.A.;020087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2019-12-31;2.01.04.03;Financiamento por Arrendamento;0.0000000000;S;2020
