CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA;ANO;VALOR_CORRIGIDO_2024
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2;Passivo Total;54685657.0;S;2020;69691047.31552862
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2;Passivo Total;56670203.0;S;2021;65618880.5129077
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01;Passivo Circulante;12621398.0;S;2020;16084627.916349588
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01;Passivo Circulante;15786779.0;S;2021;18279637.446943335
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.01;Obrigações Sociais e Trabalhistas;0.0;S;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.01;Obrigações Sociais e Trabalhistas;0.0;S;2021;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.01.01;Obrigações Sociais;0.0;S;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.01.01;Obrigações Sociais;0.0;S;2021;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.01.02;Obrigações Trabalhistas;0.0;S;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.01.02;Obrigações Trabalhistas;0.0;S;2021;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.02;Fornecedores;2610053.0;S;2020;3326234.6490422054
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.02;Fornecedores;2846323.0;S;2021;3295780.1269591535
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.02.01;Fornecedores Nacionais;282068.0;S;2020;359465.6334511356
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.02.01;Fornecedores Nacionais;449034.0;S;2021;519940.0537215827
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.02.01.01;Fornecedores;282068.0;N;2020;359465.6334511356
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.02.01.01;Fornecedores;433297.0;N;2021;501718.05577617866
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.02.01.02;Fornecedores - Risco sacado;0.0;N;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.02.01.02;Fornecedores - Risco sacado;15737.0;N;2021;18221.997945404015
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.02.02;Fornecedores Estrangeiros;2327985.0;S;2020;2966769.0155910696
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.02.02;Fornecedores Estrangeiros;2397289.0;S;2021;2775840.0732375705
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.02.02.01;Fornecedores;2327985.0;N;2020;2966769.0155910696
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.02.02.01;Fornecedores;2330434.0;N;2021;2698428.1349621695
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.02.02.02;Fornecedores - Risco sacado;0.0;N;2020;0.0
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.02.02.02;Fornecedores - Risco sacado;66855.0;N;2021;77411.938275401
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.03;Obrigações Fiscais;585221.0;S;2020;745801.8544248444
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.03;Obrigações Fiscais;624899.0;S;2021;723575.5413411085
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.03.01;Obrigações Fiscais Federais;573457.0;S;2020;730809.8889699925
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.03.01;Obrigações Fiscais Federais;619695.0;S;2021;717549.788191977
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;211649.0;S;2020;269724.1156540245
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;399292.0;S;2021;462343.3947776743
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.03.01.02;Outros;361808.0;N;2020;461085.773315968
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.03.01.02;Outros;220403.0;N;2021;255206.3934143027
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01.03.02;Obrigações Fiscais Estaduais;464.0;S;2020;591.3185966551573
07.689.002/0001-89;2021-12-31;1;EMBRAER S.A.;20087;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01.03.02;Obrigações Fiscais Estaduais;463.0;S;2021;536.1113966271881
