CD_CONTA;DS_CONTA;2019;2020;2021;2022;2023;2024
2;Passivo Total;42614656.0000000000;54812845.0000000000;56670203.0000000000;52918325.0000000000;52201228.0000000000;73219718.0000000000
2.01;Passivo Circulante;25739943.0000000000;12621398.0000000000;15786779.0000000000;16786744.0000000000;17746077.0000000000;27347016.0000000000
2.01.01;Obrigações Sociais e Trabalhistas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.01.01;Obrigações Sociais;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.01.02;Obrigações Trabalhistas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.02;Fornecedores;1442914.0000000000;2610053.0000000000;2846323.0000000000;4001615.0000000000;3991856.0000000000;6251565.0000000000
2.01.02.01;Fornecedores Nacionais;295279.0000000000;282068.0000000000;449034.0000000000;508405.0000000000;542619.0000000000;846049.0000000000
2.01.02.01.01;Fornecedores;;282068.0000000000;433297.0000000000;468923.0000000000;453670.0000000000;719764.0000000000
2.01.02.01.02;Fornecedores - Acordos de financiamento;;;;;88949.0000000000;126285.0000000000
2.01.02.01.02;Fornecedores - Risco sacado;;0.0000000000;15737.0000000000;39482.0000000000;88949.0000000000;
2.01.02.02;Fornecedores Estrangeiros;1147635.0000000000;2327985.0000000000;2397289.0000000000;3493210.0000000000;3449237.0000000000;5405516.0000000000
2.01.02.02.01;Fornecedores;;2327985.0000000000;2330434.0000000000;3389334.0000000000;3356257.0000000000;5263775.0000000000
2.01.02.02.02;Fornecedores - Acordos de financiamento;;;;;92980.0000000000;141741.0000000000
2.01.02.02.02;Fornecedores - Risco sacado;;0.0000000000;66855.0000000000;103876.0000000000;92980.0000000000;
2.01.03;Obrigações Fiscais;393050.0000000000;585221.0000000000;624899.0000000000;805899.0000000000;1153099.0000000000;1055536.0000000000
2.01.03.01;Obrigações Fiscais Federais;385981.0000000000;573457.0000000000;619695.0000000000;789688.0000000000;1144603.0000000000;1046413.0000000000
2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;171673.0000000000;211649.0000000000;399292.0000000000;559524.0000000000;946889.0000000000;771953.0000000000
2.01.03.01.02;Outros;214308.0000000000;361808.0000000000;220403.0000000000;230164.0000000000;197714.0000000000;274460.0000000000
2.01.03.02;Obrigações Fiscais Estaduais;449.0000000000;464.0000000000;463.0000000000;1482.0000000000;228.0000000000;0.0000000000
2.01.03.03;Obrigações Fiscais Municipais;6620.0000000000;11300.0000000000;4741.0000000000;14729.0000000000;8268.0000000000;9123.0000000000
2.01.04;Empréstimos e Financiamentos;59972.0000000000;1951241.0000000000;3204362.0000000000;1609856.0000000000;615117.0000000000;704419.0000000000
2.01.04.01;Empréstimos e Financiamentos;59972.0000000000;1951241.0000000000;3204362.0000000000;1609856.0000000000;615117.0000000000;704419.0000000000
2.01.04.01.01;Em Moeda Nacional;51313.0000000000;62731.0000000000;46358.0000000000;33953.0000000000;976.0000000000;1118.0000000000
2.01.04.01.02;Em Moeda Estrangeira;8659.0000000000;1888510.0000000000;3158004.0000000000;1575903.0000000000;614141.0000000000;703301.0000000000
2.01.04.02;Debêntures;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.04.03;Financiamento por Arrendamento;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.05;Outras Obrigações;3339057.0000000000;6962786.0000000000;8251152.0000000000;9709092.0000000000;11430414.0000000000;18776760.0000000000
2.01.05.01;Passivos com Partes Relacionadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.05.01.01;Débitos com Coligadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.05.01.03;Débitos com Controladores;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.05.01.04;Débitos com Outras Partes Relacionadas;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.05.02;Outros;3339057.0000000000;6962786.0000000000;8251152.0000000000;9709092.0000000000;11430414.0000000000;18776760.0000000000
2.01.05.02.01;Dividendos e JCP a Pagar;5553.0000000000;6225.0000000000;94.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.05.02.04;Contas a Pagar;654891.0000000000;1276591.0000000000;1346381.0000000000;1668942.0000000000;1608797.0000000000;2227804.0000000000
2.01.05.02.05;Contribuição de Parceiros;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.05.02.06;Dívidas com e sem direito de regresso;16102.0000000000;21635.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.01.05.02.07;Adiantamento de Clientes;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
